"County","Disease_Condition","Total_Human_Affected"
"Samburu","Septicemia ",0
"Samburu","Severed Artery",0
"Samburu","Sheep Pox",3
"Samburu","Sheep scab",0
"Samburu","Shipping Fever",0
"Samburu","Skin Abscess",0
"Samburu","Skin Abscess ",0
"Samburu","Skin Nodules ",0
"Samburu","Skin Wound",0
"Samburu","Skin Wound ",0
"Samburu","Skin Wounds",0
"Samburu","Skina Abscess ",0
"Samburu","Sodium Selenite Hypersensitivity ",0
"Samburu","Sprain",0
"Samburu","Sprain ",0
"Samburu","Sprain Of The Elbow Joint ",0
"Samburu","Sprain On Left Hind Limb ",0
"Samburu","Stick Tight Fleas",0
"Samburu","Stomatitis And Mammilitis",0
"Samburu","Streptothricosis ",0
"Samburu","Suspected CCPP",0
"Samburu","Suspected RVF",0
"Samburu","Suspected TRP",0
"Samburu","Tetanus",0
"Samburu","Tick  Fever ",0
"Samburu","Tick Infestation ",0
"Samburu","Torsion ",0
"Samburu","Transmissible Venereal Tumor",0
"Samburu","Trauma",0
"Samburu","Traumatic Pericarditis ",0
"Samburu","Traumatic Reticulopercarditis",0
"Samburu","Traumatic Reticuloperitonitis",0
"Samburu","Trypanosomiasis",0
"Samburu","Tumour",0
"Samburu","Umbilical Hernia ",0
"Samburu","Unkown",0
"Samburu","Upper respiratory infections",0
"Samburu","Uterine Prolapse ",0
"Samburu","Uterus Prolapse ",0
"Samburu","Verminous Pneumonia ",0
"Samburu","Warts ",0
"Samburu","Water Intoxication ",0
"Samburu","Worm Infestation ",0
"Samburu","Worms Infestation ",0
"Samburu","Wound",0
"Samburu","Wounds",0
"Samburu","Wounds ",0
"Samburu","Wounds and Abrasion ",0
"Samburu","tumour ",0
"Siaya"," Overgrown Horns",0
"Siaya","African Swine Fever (ASF)",0
"Siaya","Anaphylaxis ",0
"Siaya","Anaplasmosis",0
"Siaya","Babesiosis",0
"Siaya","Bee Bite ",0
"Siaya","Black Quarter",0
"Siaya","Bloat",0
"Siaya","Bovine Papillomatosis ",0
"Siaya","Brucellosis",0
"Siaya","Carpal Abrassion Wound ",0
"Siaya","Coenurosis",0
"Siaya","Contagious Caprine Pleuropneumonia (CCPP)",0
"Siaya","Dermatitis ",0
"Siaya","Dermatomycosis",0
"Siaya","East Coast Fever(ECF)",0
"Siaya","Emaciation",0
"Siaya","Enterotoxaemia",0
"Siaya","Eye Infection ",0
"Siaya","Foot and Mouth Disease (FMD)",0
"Siaya","Fowl Pox",0
"Siaya","Goat Pox",0
"Siaya","Heart Water",0
"Siaya","Helminthes",0
"Siaya","Helminthiasis",0
"Siaya","Lumpy Skin Disease (LSD)",0
"Siaya","Mange",0
"Siaya","Mastitis ",0
"Siaya","Newcastle Disease (NCD)",0
"Siaya","Oestrus ovina",0
"Siaya","Orf",0
"Siaya","Parvovirus",0
"Siaya","Peste des Petit Ruminants (PPR)",0
"Siaya","Pneumonia",0
"Siaya","Poisoning",0
"Siaya","Rabies",0
"Siaya","Strangulation",0
"Siaya","Streptothricosis",0
"Siaya","Trauma",0
"Siaya","Trauma ",0
"Siaya","Trypanosomiasis",0
"Siaya","Tryps ",0
"Siaya","Vibriosis",0
"Siaya","enterotoxaemia",0
"Taita Taveta"," 0",0
"Taita Taveta"," Acute Trypanosomiasis",0
"Taita Taveta"," Fowltyphoid",0
"Taita Taveta"," Hypocalcemia ",0
"Taita Taveta"," Warts",0
"Taita Taveta","Abortion ",0
"Taita Taveta","Abscess",0
"Taita Taveta","Abscess ",0
"Taita Taveta","Acute Trypanosomiasis",0
"Taita Taveta","Anaemia",0
"Taita Taveta","Anaplasmosis",0
"Taita Taveta","Anaplasmosis ",0
"Taita Taveta","Anaplasmosis....DDx ECF",0
"Taita Taveta","Animal bites",0
"Taita Taveta","Arthritis",0
"Taita Taveta","Babesiosis",0
"Taita Taveta","Babesiosis ",0
"Taita Taveta","Bacteria Scours ",0
"Taita Taveta","Bite Injury",0
"Taita Taveta","Black Quarter",0
"Taita Taveta","Bloat",0
"Taita Taveta","Bluetongue",0
"Taita Taveta","Bottle Jow Oedema(malnutrition)",0
"Taita Taveta","Brucellosis",0
"Taita Taveta","CRDB(chronic Respiratory Disease)",0
"Taita Taveta","Canine Distemper",0
"Taita Taveta","Canine Distemper (CD)",0
"Taita Taveta","Castration",0
"Taita Taveta","Cervical Injury ",0
"Taita Taveta","Clinical Mastitis",0
"Taita Taveta","Clinical Mastitis ",1
"Taita Taveta","Coccidosis",0
"Taita Taveta","Colic",0
"Taita Taveta","Contagious Bovine Pleuropneumonia (CBPP)",0
"Taita Taveta","Contagious Caprine Pleuropneumonia (CCPP)",0
"Taita Taveta","Contagious Ecthyma",0
"Taita Taveta","Dehorning ",0
"Taita Taveta","Demedicosis",0
"Taita Taveta","Diarrhoea",0
"Taita Taveta","Diarrhoea ",0
"Taita Taveta","Dog Bite",0
"Taita Taveta","Dystocia",0
"Taita Taveta","Dystocia ",0
"Taita Taveta","East Coast Fever",0
"Taita Taveta","East Coast Fever(ECF)",0
"Taita Taveta","Ehrlichiosis",0
"Taita Taveta","Enteritis",0
"Taita Taveta","Enteritis ",0
"Taita Taveta","Enteritis 0",0
"Taita Taveta","Enterotoxaemia",0
"Taita Taveta","Entritis",0
"Taita Taveta","Ephemeral Fever",0
"Taita Taveta","Eye Infection",0
"Taita Taveta","Eye Infection ",0
"Taita Taveta","Eye Infection/Keratoconjunctivitis",0
"Taita Taveta","Eye infection",0
"Taita Taveta","Foot Rot",0
"Taita Taveta","Foot Rot ",0
"Taita Taveta","Foot and Mouth Disease (FMD)",0
"Taita Taveta","Foot rot",0
"Taita Taveta","Footrot",0
"Taita Taveta","Footrot ",0
"Taita Taveta","Fowl Pox",0
"Taita Taveta","Fowl Typhoid ",8
"Taita Taveta","Fowl typhoid ",0
"Taita Taveta","Fowltyphoid",0
"Taita Taveta","Fracture Of Femur",0
"Taita Taveta","Fungal Infection ",0
"Taita Taveta","GIT Infection",0
"Taita Taveta","Goat Pox",0
"Taita Taveta","Grain Overload",0
"Taita Taveta","Haemorrhagic septicemia",0
"Taita Taveta","Hapatitis",0
"Taita Taveta","Heart Water",0
"Taita Taveta","Heartwater Disease",0
"Taita Taveta","Heavy Breathing ",0
"Taita Taveta","Helmenthiasis",0
"Taita Taveta","Helmethiasis",0
"Taita Taveta","Helminthiasis",5
"Taita Taveta","Helminthiasis ",0
"Taita Taveta","Hemorrhagic Septicemia ",0
"Taita Taveta","Hydatid",0
"Taita Taveta","Hypocalcaemia",0
"Taita Taveta","Hypocalcemia",0
"Taita Taveta","Hypocalcimia",0
"Taita Taveta","Infectious Corrhiza",0
"Taita Taveta","Infectious Coryza ",0
"Taita Taveta","Infectous Corryza",0
"Taita Taveta","Infertility",0
"Taita Taveta","Insect Bite",0
"Taita Taveta","Johnes Disease",0
"Taita Taveta","Keratoconjunctivitis ",0
"Taita Taveta","Leg Fracture ",0
"Taita Taveta","Leg Injury ",0
"Taita Taveta","Limping ",0
"Taita Taveta","Lumpy Skin Disease (LSD)",0
"Taita Taveta","Malnutrition Especially Protein Deficiency",0
"Taita Taveta","Mange",1
"Taita Taveta","Mange/Ear Cancer",0
"Taita Taveta","Mastitis",0
"Taita Taveta","Mastitis ",0
"Taita Taveta","Masty",0
"Taita Taveta","Matitis",0
"Taita Taveta","Metritis",0
"Taita Taveta","Miases",0
"Taita Taveta","Milk Fever",1
"Taita Taveta","Milkman disease ",0
"Taita Taveta","Miscarriage ",0
"Taita Taveta","Myaisis",1
"Taita Taveta","Myasis",0
"Taita Taveta","Myiasis",0
"Taita Taveta","NSD",0
"Taita Taveta","Nerval Illness ",0
"Taita Taveta","Newcastle Disease (NCD)",0
"Taita Taveta","No",0
"Taita Taveta","Nsd",0
"Taita Taveta","Off Disease",0
"Taita Taveta","Orf",0
"Taita Taveta","Orf Disease",0
"Taita Taveta","Orf Disease ",0
"Taita Taveta","Orf Virus",0
"Taita Taveta","Orf disease",0
"Taita Taveta","Parvovirus",0
"Taita Taveta","Perineal Hernia",0
"Taita Taveta","Peste des Petit Ruminants (PPR)",1
"Taita Taveta","Physical Trauma",0
"Taita Taveta","Pink Eye",0
"Taita Taveta","Pink Eye Infection",0
"Taita Taveta","Pneumonia",1
"Taita Taveta","Poisoning",0
"Taita Taveta","Poor Body Condition ",0
"Taita Taveta","Postpartum Uterine Infection",0
"Taita Taveta","Postpertum Uterine Infection",0
"Taita Taveta","Pregnancy Test ",0
"Taita Taveta","Pyometra",0
"Taita Taveta","R.A.B",0
"Taita Taveta","RAB",0
"Taita Taveta","RAT",0
"Taita Taveta","Rabies",0
"Taita Taveta","Respiratory Infection",0
"Taita Taveta","Respiratory Infection, Helminthiasis",0
"Taita Taveta","Retain After Birth ",0
"Taita Taveta","Retained  Afterbirth ",0
"Taita Taveta","Retained After birth",0
"Taita Taveta","Retained Afterbirth ",1
"Taita Taveta","Rift Valley Fever (RVF)",0
"Taita Taveta","Ring Worm",0
"Taita Taveta","Salmonellosis ",0
"Taita Taveta","Septicemia ",0
"Taita Taveta","Sheep Pox",0
"Taita Taveta","Skin Abscess",0
"Taita Taveta","Skin Abscess ",0
"Taita Taveta","Skin Deases",0
"Taita Taveta","Skin Infection",0
"Taita Taveta","Stinging",0
"Taita Taveta","Suspected Canine tick Borne Fever (Babesiosis and Or Canine Ehrlichiosis.",0
"Taita Taveta","Tick Bite Fever",0
"Taita Taveta","Tick Fever",0
"Taita Taveta","Traumatic Injury",0
"Taita Taveta","Trypanosomiasis",0
"Taita Taveta","Trypanosomiasis DDx Mineral Deficiency",0
"Taita Taveta","Trypanosomiasis, Respiratory Infection",0
"Taita Taveta","Trypanosomiasis....ddx Respiratory Infection",0
"Taita Taveta","Tryps and Helminthiasis",0
"Taita Taveta","Tuberculosis ",0
"Taita Taveta","Unknown ",0
"Taita Taveta","Uterine Infection",0
"Taita Taveta","Uterine Irrigation ",0
"Taita Taveta","Uterine Prolapse",0
"Taita Taveta","Uterine Prolapse ",0
"Taita Taveta","Vaginal Prolapse ",0
"Taita Taveta","Vibriosis ",0
"Taita Taveta","Warts",0
"Taita Taveta","Wound",0
"Taita Taveta","Wound ",0
"Taita Taveta","Wounds",0
"Taita Taveta","parturition eodema ",0
"Tana River"," 0",0
"Tana River","Abscess",0
"Tana River","Anaplasmosis",0
"Tana River","Anaplasmosis ",0
"Tana River","Animal bites",0
"Tana River","Black Quarter",0
"Tana River","Blue Tongue",0
"Tana River","Bluetongue",0
"Tana River","Broken Hind Limb",0
"Tana River","Brucellosis",8
"Tana River","Camel Pox",0
"Tana River","Coccidosis",0
"Tana River","Contagious Bovine Pleuropneumonia (CBPP)",0
"Tana River","Contagious Caprine Pleuropneumonia (CCPP)",0
"Tana River","Diarrhoea",0
"Tana River","Enterotoxaemia",0
"Tana River","Equine trypanosomiasis ",0
"Tana River","Exophthalmos ",0
"Tana River","Foot Rot",0
"Tana River","Foot and Mouth Disease (FMD)",0
"Tana River","Foot rot",0
"Tana River","Fowl Typhoid",0
"Tana River","Goat Pox",0
"Tana River","Haemorrhagic septicemia",450
"Tana River","Hardware",0
"Tana River","Heart Water",0
"Tana River","Helmenthiosis",0
"Tana River","Helmethiosis",0
"Tana River","Helminthiasis",0
"Tana River","Helminthiasis ",0
"Tana River","Infectious Coryza",0
"Tana River","Infectious Coryza ",0
"Tana River","Injury",0
"Tana River","Kennel cough",0
"Tana River","Lumpy Skin Disease (LSD)",0
"Tana River","Mange",0
"Tana River","Newcastle Disease (NCD)",0
"Tana River","None ",0
"Tana River","Orf",0
"Tana River","Parvovirus",0
"Tana River","Peste des Petit Ruminants (PPR)",0
"Tana River","Pneumonia",3
"Tana River","Rift Valley Fever (RVF)",0
"Tana River","Septicaemia/Salmonella ",0
"Tana River","Sheep Enterotoximea",0
"Tana River","Sheep Pox",0
"Tana River","Sheep scab",0
"Tana River","Tick Infestation ",0
"Tana River","Trypanosomiasis",0
"Tana River","Yes",0
"Tana River","orf",0
"Tharaka-Nithi"," 0",0
"Tharaka-Nithi","Anaplasmosis",0
"Tharaka-Nithi","Anthrax",3
"Tharaka-Nithi","Black Quarter",0
"Tharaka-Nithi","Brucellosis",0
"Tharaka-Nithi","Brucellosis ",0
"Tharaka-Nithi","Canine Distemper (CD)",0
"Tharaka-Nithi","Cellulitis ",0
"Tharaka-Nithi","Coccidosis",0
"Tharaka-Nithi","Cowdriosis",0
"Tharaka-Nithi","East Coast Fever(ECF)",0
"Tharaka-Nithi","Enterotoxaemia",3
"Tharaka-Nithi","Foot Rot",0
"Tharaka-Nithi","Foot and Mouth Disease (FMD)",0
"Tharaka-Nithi","Git Infection ",0
"Tharaka-Nithi","Goat Pox",0
"Tharaka-Nithi","Heart Water",0
"Tharaka-Nithi","Helminthiasis",0
"Tharaka-Nithi","Kennel cough",0
"Tharaka-Nithi","Lumpy Skin Disease (LSD)",0
"Tharaka-Nithi","Mastitis",0
"Tharaka-Nithi","Mastitis ",1
"Tharaka-Nithi","Milk Fever",0
"Tharaka-Nithi","Non specific disease ",0
"Tharaka-Nithi","None ",0
"Tharaka-Nithi","Numbness ",0
"Tharaka-Nithi","O",0
"Tharaka-Nithi","O0",0
"Tharaka-Nithi","Pneumonia",0
"Tharaka-Nithi","Rabies",0
"Tharaka-Nithi","Retained Afterbirth ",0
"Tharaka-Nithi","Trichomoniasis ",0
"Tharaka-Nithi","Trypanosomiasis",0
"Tharaka-Nithi","mastitis",0
"Trans Nzoia","Black Quarter",0
"Trans Nzoia","Calfscours Disease",0
"Trans Nzoia","Foot and Mouth Disease (FMD)",0
"Trans Nzoia","Helminthiasis",0
"Trans Nzoia","Hydatidosis ",0
"Trans Nzoia","Infectious Bronchitis",0
"Trans Nzoia","Mastitis ",0
"Trans Nzoia","Pneumonia",0
"Trans Nzoia","Salmonelosis",0
"Trans Nzoia","Tetanus",0
"Turkana","Anaplasmosis",0
"Turkana","Brucellosis",0
"Turkana","CCPP",0
"Turkana","Camel Mange",0
"Turkana","Camel Pox",0
"Turkana","Chlamydia",0
"Turkana","Contagious Bovine Pleuropneumonia (CBPP)",0
"Turkana","Contagious Caprine Pleuropneumonia (CCPP)",0
"Turkana","Diarrhea ",0
"Turkana","Diarrhoea ",0
"Turkana","Enterotoxaemia",0
"Turkana","Faecal Impaction",0
"Turkana","Foot Rot",0
"Turkana","Foot rot",0
"Turkana","Goat Pox",0
"Turkana","Haemorrhagic Septicaemia ",0
"Turkana","Heart Water",0
"Turkana","Helminth ",0
"Turkana","Helminthiasis",0
"Turkana","Lumpy Skin Disease (LSD)",0
"Turkana","Mange",0
"Turkana","Newcastle Disease (NCD)",0
"Turkana","Orf",0
"Turkana","Orf ",0
"Turkana","Plant Poisoning ",0
"Turkana","Pneumonia",0
"Turkana","Rabies",11
"Turkana","Sheep scab",0
"Turkana","Trypanosomiasis",0
"Uasin Gishu","Anaplasmosis",0
"Uasin Gishu","Anthrax",0
"Uasin Gishu","Contagious Caprine Pleuropneumonia (CCPP)",0
"Uasin Gishu","East Coast Fever(ECF)",0
"Uasin Gishu","Enterotoxaemia",0
"Uasin Gishu","Helminthiasis",0
"Uasin Gishu","Mange",0
"Uasin Gishu","Mange ",0
"Uasin Gishu","Mastitis ",0
"Uasin Gishu","Pneumonia",0
"Uasin Gishu","Rabies",0
"Vihiga"," 0",0
"Vihiga"," Abscess",0
"Vihiga"," Effects Of Dexamethasone",0
"Vihiga"," Grass Tetany",1
"Vihiga"," Horn Buds",0
"Vihiga"," Iron Deficiency ",0
"Vihiga"," Locia",0
"Vihiga"," Pink Eye",0
"Vihiga"," Retained Afterbirth",0
"Vihiga"," Salmonellosis",0
"Vihiga","Allergy",0
"Vihiga","Anaestrus",0
"Vihiga","Anaplasmosis",0
"Vihiga","Animal bites",0
"Vihiga","Anorexic",0
"Vihiga","Anthrax",1
"Vihiga","Arthritis ",0
"Vihiga","Ascites ",0
"Vihiga","Babesiosis",0
"Vihiga","Bee Sting",0
"Vihiga","Benign tumour of mammary gland ",0
"Vihiga","Black Quarter",0
"Vihiga","Brucellosis",0
"Vihiga","Camel Pox",0
"Vihiga","Canine Distemper (CD)",0
"Vihiga","Clinical Mastitis",0
"Vihiga","Coccidosis",0
"Vihiga","Compound Fructure",0
"Vihiga","Contagious Caprine Pleuropneumonia (CCPP)",0
"Vihiga","Delayed Heat",0
"Vihiga","Diamond ",0
"Vihiga","Diqrrhoea due lush pasture",0
"Vihiga","Dislocation ",0
"Vihiga","Downer cow syndrome ",0
"Vihiga","Dystocia",0
"Vihiga","East Coast Fever(ECF)",0
"Vihiga","Enterotoxaemia",0
"Vihiga","Foot and Mouth Disease (FMD)",0
"Vihiga","Fowl Pox",0
"Vihiga","Fowl Typhoid ",0
"Vihiga","Gangrenous Disease",0
"Vihiga","Goat Pox",0
"Vihiga","Hardware ",0
"Vihiga","Heart Water",0
"Vihiga","Heartwater",0
"Vihiga","Helmenthiasis",0
"Vihiga","Helminthiasis",0
"Vihiga","Helminthiasis ",0
"Vihiga","Helminthisiasis",0
"Vihiga","Infertility  Disease",0
"Vihiga","Iron ",0
"Vihiga","Iron Defficiency ",0
"Vihiga","Iron Deficiency",0
"Vihiga","Iron Deficiency,tooth & Tail Clipping",0
"Vihiga","Laceration",0
"Vihiga","Laceration ",0
"Vihiga","Lice Infestation ",0
"Vihiga","Locked Jaw/ Tetanus",0
"Vihiga","Lumpy Skin Disease (LSD)",0
"Vihiga","Mange",0
"Vihiga","Manges",0
"Vihiga","Mastitis",0
"Vihiga","Mastitis ",0
"Vihiga","Mastitis/blocked Teat",0
"Vihiga","Menges",0
"Vihiga","Milk Fever",0
"Vihiga","Mummified foetus ",0
"Vihiga","Newcastle Disease (NCD)",0
"Vihiga","O",0
"Vihiga","Parvovirus",0
"Vihiga","Peste des Petit Ruminants (PPR)",0
"Vihiga","Photosensitization",0
"Vihiga","Photosensitization ",0
"Vihiga","Pink Eye",0
"Vihiga","Pneumonia",0
"Vihiga","Poisoning",0
"Vihiga","Postparturent Agalactia",0
"Vihiga","Pregnancy Diagnostic",0
"Vihiga","Profuse Diarrhoea",0
"Vihiga","Rabies",0
"Vihiga","Reproductive Disorder",0
"Vihiga","Retained After Birth",0
"Vihiga","Retained Placenta",0
"Vihiga","Ringworms",0
"Vihiga","Rolling Tongue ",0
"Vihiga","Ruminal Tympany",0
"Vihiga","Sprain",0
"Vihiga","Stomach Enteritis ",0
"Vihiga","Streptococcis",0
"Vihiga","TRP",0
"Vihiga","Thelezia",0
"Vihiga","Transmissible Venereal Tumour",0
"Vihiga","Traumatic of eye",0
"Vihiga","Trypanosomiasis",0
"Vihiga","Tumour ",0
"Vihiga","Uterine Prolapse",0
"Vihiga","Vaginal Prolapse",0
"Vihiga","Wart Infection",0
"Vihiga","Wart Infection ",0
"Vihiga","Warts",0
"Wajir","Anaemic ",0
"Wajir","Animal bites",2
"Wajir","Contagious Caprine Pleuropneumonia (CCPP)",0
"Wajir","Foot and Mouth Disease (FMD)",0
"Wajir","Goat Pox",0
"Wajir","Haemorrhagic septicemia",0
"Wajir","Peste des Petit Ruminants (PPR)",0
"Wajir","Pneumonia",0
"Wajir","Rabies",2
"West Pokot","Anaplasmosis",0
"West Pokot","Contagious Caprine Pleuropneumonia (CCPP)",0
"West Pokot","East Coast Fever(ECF)",0
"West Pokot","Fungul",0
"West Pokot","Helminthiasis",0
"West Pokot","Lumpy Skin Disease (LSD)",0
"West Pokot","Mange",0
"West Pokot","Peste des Petit Ruminants (PPR)",0
"West Pokot","Retain Placenta",0
"West Pokot","Rift Valley Fever (RVF)",0
"West Pokot","Sinusitis",0
"West Pokot","Trypanosomiasis",0
