"County","Disease_Condition","Total_Number_Sick"
"Samburu","Salmonellosis",1
"Samburu","Septicemia ",1
"Samburu","Severed Artery",0
"Samburu","Sheep Pox",289
"Samburu","Sheep scab",2
"Samburu","Shipping Fever",0
"Samburu","Skin Abscess",1
"Samburu","Skin Abscess ",0
"Samburu","Skin Nodules ",42
"Samburu","Skin Wound",1
"Samburu","Skin Wound ",1
"Samburu","Skin Wounds",0
"Samburu","Skina Abscess ",0
"Samburu","Sodium Selenite Hypersensitivity ",0
"Samburu","Sprain",1
"Samburu","Sprain ",2
"Samburu","Sprain Of The Elbow Joint ",0
"Samburu","Sprain On Left Hind Limb ",1
"Samburu","Stick Tight Fleas",3
"Samburu","Stomatitis And Mammilitis",0
"Samburu","Streptothricosis ",2
"Samburu","Suspected CCPP",2
"Samburu","Suspected RVF",0
"Samburu","Suspected TRP",0
"Samburu","Tetanus",1
"Samburu","Tick  Fever ",1
"Samburu","Tick Infestation ",0
"Samburu","Torsion ",0
"Samburu","Transmissible Venereal Tumor",1
"Samburu","Trauma",0
"Samburu","Traumatic Pericarditis ",1
"Samburu","Traumatic Reticulopercarditis",1
"Samburu","Traumatic Reticuloperitonitis",1
"Samburu","Trypanosomiasis",44
"Samburu","Tumour",0
"Samburu","Umbilical Hernia ",0
"Samburu","Unkown",0
"Samburu","Upper respiratory infections",0
"Samburu","Uterine Prolapse ",0
"Samburu","Uterus Prolapse ",1
"Samburu","Verminous Pneumonia ",15
"Samburu","Warts ",2
"Samburu","Water Intoxication ",1
"Samburu","Worm Infestation ",6
"Samburu","Worms Infestation ",3
"Samburu","Wound",1
"Samburu","Wounds",4
"Samburu","Wounds ",3
"Samburu","Wounds and Abrasion ",1
"Samburu","tumour ",0
"Siaya"," Overgrown Horns",0
"Siaya","African Swine Fever (ASF)",0
"Siaya","Anaphylaxis ",1
"Siaya","Anaplasmosis",13
"Siaya","Babesiosis",1
"Siaya","Bee Bite ",2
"Siaya","Black Quarter",2
"Siaya","Bloat",1
"Siaya","Bovine Papillomatosis ",1
"Siaya","Brucellosis",1
"Siaya","Carpal Abrassion Wound ",1
"Siaya","Coenurosis",1
"Siaya","Contagious Caprine Pleuropneumonia (CCPP)",3
"Siaya","Dermatitis ",1
"Siaya","Dermatomycosis",3
"Siaya","East Coast Fever(ECF)",8
"Siaya","Emaciation",1
"Siaya","Enterotoxaemia",3
"Siaya","Eye Infection ",1
"Siaya","Foot and Mouth Disease (FMD)",10
"Siaya","Fowl Pox",6
"Siaya","Goat Pox",4
"Siaya","Heart Water",14
"Siaya","Helminthes",2
"Siaya","Helminthiasis",53
"Siaya","Lumpy Skin Disease (LSD)",25
"Siaya","Mange",2
"Siaya","Mastitis ",1
"Siaya","Newcastle Disease (NCD)",31
"Siaya","Oestrus ovina",4
"Siaya","Orf",4
"Siaya","Parvovirus",1
"Siaya","Peste des Petit Ruminants (PPR)",2
"Siaya","Pneumonia",6
"Siaya","Poisoning",2
"Siaya","Rabies",2
"Siaya","Strangulation",1
"Siaya","Streptothricosis",3
"Siaya","Trauma",1
"Siaya","Trauma ",1
"Siaya","Trypanosomiasis",10
"Siaya","Tryps ",1
"Siaya","Vibriosis",1
"Siaya","enterotoxaemia",5
"Taita Taveta"," 0",17
"Taita Taveta"," Acute Trypanosomiasis",1
"Taita Taveta"," Fowltyphoid",10
"Taita Taveta"," Hypocalcemia ",1
"Taita Taveta"," Warts",1
"Taita Taveta","Abortion ",2
"Taita Taveta","Abscess",8
"Taita Taveta","Abscess ",2
"Taita Taveta","Acute Trypanosomiasis",17
"Taita Taveta","Anaemia",1
"Taita Taveta","Anaplasmosis",288
"Taita Taveta","Anaplasmosis ",6
"Taita Taveta","Anaplasmosis....DDx ECF",1
"Taita Taveta","Animal bites",5
"Taita Taveta","Arthritis",2
"Taita Taveta","Babesiosis",1
"Taita Taveta","Babesiosis ",3
"Taita Taveta","Bacteria Scours ",1
"Taita Taveta","Bite Injury",1
"Taita Taveta","Black Quarter",10
"Taita Taveta","Bloat",4
"Taita Taveta","Bluetongue",2
"Taita Taveta","Bottle Jow Oedema(malnutrition)",5
"Taita Taveta","Brucellosis",15
"Taita Taveta","CRDB(chronic Respiratory Disease)",10
"Taita Taveta","Canine Distemper",3
"Taita Taveta","Canine Distemper (CD)",17
"Taita Taveta","Castration",1
"Taita Taveta","Cervical Injury ",1
"Taita Taveta","Clinical Mastitis",1
"Taita Taveta","Clinical Mastitis ",3
"Taita Taveta","Coccidosis",1725
"Taita Taveta","Colic",0
"Taita Taveta","Contagious Bovine Pleuropneumonia (CBPP)",1
"Taita Taveta","Contagious Caprine Pleuropneumonia (CCPP)",247
"Taita Taveta","Contagious Ecthyma",8
"Taita Taveta","Dehorning ",1
"Taita Taveta","Demedicosis",2
"Taita Taveta","Diarrhoea",4
"Taita Taveta","Diarrhoea ",2
"Taita Taveta","Dog Bite",1
"Taita Taveta","Dystocia",3
"Taita Taveta","Dystocia ",4
"Taita Taveta","East Coast Fever",1
"Taita Taveta","East Coast Fever(ECF)",168
"Taita Taveta","Ehrlichiosis",2
"Taita Taveta","Enteritis",4
"Taita Taveta","Enteritis ",7
"Taita Taveta","Enteritis 0",1
"Taita Taveta","Enterotoxaemia",11
"Taita Taveta","Entritis",4
"Taita Taveta","Ephemeral Fever",3
"Taita Taveta","Eye Infection",9
"Taita Taveta","Eye Infection ",1
"Taita Taveta","Eye Infection/Keratoconjunctivitis",2
"Taita Taveta","Eye infection",3
"Taita Taveta","Foot Rot",8
"Taita Taveta","Foot Rot ",2
"Taita Taveta","Foot and Mouth Disease (FMD)",9
"Taita Taveta","Foot rot",4
"Taita Taveta","Footrot",8
"Taita Taveta","Footrot ",1
"Taita Taveta","Fowl Pox",58
"Taita Taveta","Fowl Typhoid ",8
"Taita Taveta","Fowl typhoid ",10
"Taita Taveta","Fowltyphoid",5
"Taita Taveta","Fracture Of Femur",0
"Taita Taveta","Fungal Infection ",1
"Taita Taveta","GIT Infection",4
"Taita Taveta","Goat Pox",12
"Taita Taveta","Grain Overload",1
"Taita Taveta","Haemorrhagic septicemia",1
"Taita Taveta","Hapatitis",0
"Taita Taveta","Heart Water",25
"Taita Taveta","Heartwater Disease",1
"Taita Taveta","Heavy Breathing ",2
"Taita Taveta","Helmenthiasis",1
"Taita Taveta","Helmethiasis",5
"Taita Taveta","Helminthiasis",946
"Taita Taveta","Helminthiasis ",25
"Taita Taveta","Hemorrhagic Septicemia ",1
"Taita Taveta","Hydatid",1
"Taita Taveta","Hypocalcaemia",2
"Taita Taveta","Hypocalcemia",1
"Taita Taveta","Hypocalcimia",1
"Taita Taveta","Infectious Corrhiza",8
"Taita Taveta","Infectious Coryza ",30
"Taita Taveta","Infectous Corryza",2
"Taita Taveta","Infertility",1
"Taita Taveta","Insect Bite",1
"Taita Taveta","Johnes Disease",5
"Taita Taveta","Keratoconjunctivitis ",5
"Taita Taveta","Leg Fracture ",1
"Taita Taveta","Leg Injury ",1
"Taita Taveta","Limping ",1
"Taita Taveta","Lumpy Skin Disease (LSD)",11
"Taita Taveta","Malnutrition Especially Protein Deficiency",1
"Taita Taveta","Mange",63
"Taita Taveta","Mange/Ear Cancer",13
"Taita Taveta","Mastitis",23
"Taita Taveta","Mastitis ",24
"Taita Taveta","Masty",2
"Taita Taveta","Matitis",1
"Taita Taveta","Metritis",1
"Taita Taveta","Miases",1
"Taita Taveta","Milk Fever",2
"Taita Taveta","Milkman disease ",1
"Taita Taveta","Miscarriage ",1
"Taita Taveta","Myaisis",1
"Taita Taveta","Myasis",5
"Taita Taveta","Myiasis",14
"Taita Taveta","NSD",1
"Taita Taveta","Nerval Illness ",2
"Taita Taveta","Newcastle Disease (NCD)",185
"Taita Taveta","No",1
"Taita Taveta","Nsd",2
"Taita Taveta","Off Disease",9
"Taita Taveta","Orf",10
"Taita Taveta","Orf Disease",1
"Taita Taveta","Orf Disease ",8
"Taita Taveta","Orf Virus",17
"Taita Taveta","Orf disease",1
"Taita Taveta","Parvovirus",1
"Taita Taveta","Perineal Hernia",0
"Taita Taveta","Peste des Petit Ruminants (PPR)",41
"Taita Taveta","Physical Trauma",1
"Taita Taveta","Pink Eye",2
"Taita Taveta","Pink Eye Infection",7
"Taita Taveta","Pneumonia",650
"Taita Taveta","Poisoning",3
"Taita Taveta","Poor Body Condition ",1
"Taita Taveta","Postpartum Uterine Infection",2
"Taita Taveta","Postpertum Uterine Infection",1
"Taita Taveta","Pregnancy Test ",0
"Taita Taveta","Pyometra",1
"Taita Taveta","R.A.B",2
"Taita Taveta","RAB",3
"Taita Taveta","RAT",2
"Taita Taveta","Rabies",1
"Taita Taveta","Respiratory Infection",2
"Taita Taveta","Respiratory Infection, Helminthiasis",1
"Taita Taveta","Retain After Birth ",1
"Taita Taveta","Retained  Afterbirth ",0
"Taita Taveta","Retained After birth",1
"Taita Taveta","Retained Afterbirth ",6
"Taita Taveta","Rift Valley Fever (RVF)",16
"Taita Taveta","Ring Worm",1
"Taita Taveta","Salmonellosis ",10
"Taita Taveta","Septicemia ",3
"Taita Taveta","Sheep Pox",7
"Taita Taveta","Skin Abscess",0
"Taita Taveta","Skin Abscess ",0
"Taita Taveta","Skin Deases",4
"Taita Taveta","Skin Infection",1
"Taita Taveta","Stinging",3
"Taita Taveta","Suspected Canine tick Borne Fever (Babesiosis and Or Canine Ehrlichiosis.",1
"Taita Taveta","Tick Bite Fever",1
"Taita Taveta","Tick Fever",1
"Taita Taveta","Traumatic Injury",1
"Taita Taveta","Trypanosomiasis",1279
"Taita Taveta","Trypanosomiasis DDx Mineral Deficiency",1
"Taita Taveta","Trypanosomiasis, Respiratory Infection",1
"Taita Taveta","Trypanosomiasis....ddx Respiratory Infection",1
"Taita Taveta","Tryps and Helminthiasis",1
"Taita Taveta","Tuberculosis ",1
"Taita Taveta","Unknown ",0
"Taita Taveta","Uterine Infection",0
"Taita Taveta","Uterine Irrigation ",1
"Taita Taveta","Uterine Prolapse",2
"Taita Taveta","Uterine Prolapse ",1
"Taita Taveta","Vaginal Prolapse ",4
"Taita Taveta","Vibriosis ",1
"Taita Taveta","Warts",1
"Taita Taveta","Wound",2
"Taita Taveta","Wound ",1
"Taita Taveta","Wounds",2
"Taita Taveta","parturition eodema ",1
"Tana River"," 0",3
"Tana River","Abscess",2
"Tana River","Anaplasmosis",8
"Tana River","Anaplasmosis ",20
"Tana River","Animal bites",17
"Tana River","Black Quarter",5
"Tana River","Blue Tongue",5
"Tana River","Bluetongue",7
"Tana River","Broken Hind Limb",1
"Tana River","Brucellosis",33
"Tana River","Camel Pox",8
"Tana River","Coccidosis",91
"Tana River","Contagious Bovine Pleuropneumonia (CBPP)",6
"Tana River","Contagious Caprine Pleuropneumonia (CCPP)",615
"Tana River","Diarrhoea",1
"Tana River","Enterotoxaemia",3
"Tana River","Equine trypanosomiasis ",1
"Tana River","Exophthalmos ",0
"Tana River","Foot Rot",27
"Tana River","Foot and Mouth Disease (FMD)",70
"Tana River","Foot rot",6
"Tana River","Fowl Typhoid",17
"Tana River","Goat Pox",421
"Tana River","Haemorrhagic septicemia",27
"Tana River","Hardware",0
"Tana River","Heart Water",1
"Tana River","Helmenthiosis",3
"Tana River","Helmethiosis",2
"Tana River","Helminthiasis",260
"Tana River","Helminthiasis ",5
"Tana River","Infectious Coryza",2
"Tana River","Infectious Coryza ",15
"Tana River","Injury",1
"Tana River","Kennel cough",1
"Tana River","Lumpy Skin Disease (LSD)",45
"Tana River","Mange",76
"Tana River","Newcastle Disease (NCD)",13
"Tana River","None ",1
"Tana River","Orf",1
"Tana River","Parvovirus",1
"Tana River","Peste des Petit Ruminants (PPR)",180
"Tana River","Pneumonia",465
"Tana River","Rift Valley Fever (RVF)",3
"Tana River","Septicaemia/Salmonella ",3
"Tana River","Sheep Enterotoximea",5
"Tana River","Sheep Pox",30
"Tana River","Sheep scab",4
"Tana River","Tick Infestation ",1
"Tana River","Trypanosomiasis",191
"Tana River","Yes",7
"Tana River","orf",9
"Tharaka-Nithi"," 0",1
"Tharaka-Nithi","Anaplasmosis",22
"Tharaka-Nithi","Anthrax",0
"Tharaka-Nithi","Black Quarter",1
"Tharaka-Nithi","Brucellosis",2
"Tharaka-Nithi","Brucellosis ",1
"Tharaka-Nithi","Canine Distemper (CD)",8
"Tharaka-Nithi","Cellulitis ",3
"Tharaka-Nithi","Coccidosis",2
"Tharaka-Nithi","Cowdriosis",1
"Tharaka-Nithi","East Coast Fever(ECF)",5
"Tharaka-Nithi","Enterotoxaemia",3
"Tharaka-Nithi","Foot Rot",2
"Tharaka-Nithi","Foot and Mouth Disease (FMD)",70
"Tharaka-Nithi","Git Infection ",1
"Tharaka-Nithi","Goat Pox",2
"Tharaka-Nithi","Heart Water",0
"Tharaka-Nithi","Helminthiasis",1
"Tharaka-Nithi","Kennel cough",1
"Tharaka-Nithi","Lumpy Skin Disease (LSD)",120
"Tharaka-Nithi","Mastitis",1
"Tharaka-Nithi","Mastitis ",6
"Tharaka-Nithi","Milk Fever",1
"Tharaka-Nithi","Non specific disease ",0
"Tharaka-Nithi","None ",2
"Tharaka-Nithi","Numbness ",1
"Tharaka-Nithi","O",1
"Tharaka-Nithi","O0",0
"Tharaka-Nithi","Pneumonia",25
"Tharaka-Nithi","Rabies",0
"Tharaka-Nithi","Retained Afterbirth ",1
"Tharaka-Nithi","Trichomoniasis ",1
"Tharaka-Nithi","Trypanosomiasis",13
"Tharaka-Nithi","mastitis",0
"Trans Nzoia","Black Quarter",2
"Trans Nzoia","Calfscours Disease",1
"Trans Nzoia","Foot and Mouth Disease (FMD)",16
"Trans Nzoia","Helminthiasis",3
"Trans Nzoia","Hydatidosis ",0
"Trans Nzoia","Infectious Bronchitis",45
"Trans Nzoia","Mastitis ",1
"Trans Nzoia","Pneumonia",5
"Trans Nzoia","Salmonelosis",1
"Trans Nzoia","Tetanus",1
"Turkana","Anaplasmosis",1
"Turkana","Brucellosis",10
"Turkana","CCPP",3
"Turkana","Camel Mange",3
"Turkana","Camel Pox",2
"Turkana","Chlamydia",1
"Turkana","Contagious Bovine Pleuropneumonia (CBPP)",2
"Turkana","Contagious Caprine Pleuropneumonia (CCPP)",331
"Turkana","Diarrhea ",3
"Turkana","Diarrhoea ",57
"Turkana","Enterotoxaemia",29
"Turkana","Faecal Impaction",3
"Turkana","Foot Rot",6
"Turkana","Foot rot",16
"Turkana","Goat Pox",44
"Turkana","Haemorrhagic Septicaemia ",4
"Turkana","Heart Water",10
"Turkana","Helminth ",2
"Turkana","Helminthiasis",70
"Turkana","Lumpy Skin Disease (LSD)",90
"Turkana","Mange",40
"Turkana","Newcastle Disease (NCD)",3
"Turkana","Orf",85
"Turkana","Orf ",8
"Turkana","Plant Poisoning ",1
"Turkana","Pneumonia",14
"Turkana","Rabies",1
"Turkana","Sheep scab",13
"Turkana","Trypanosomiasis",3
"Uasin Gishu","Anaplasmosis",1
"Uasin Gishu","Anthrax",0
"Uasin Gishu","Contagious Caprine Pleuropneumonia (CCPP)",9
"Uasin Gishu","East Coast Fever(ECF)",2
"Uasin Gishu","Enterotoxaemia",1
"Uasin Gishu","Helminthiasis",5
"Uasin Gishu","Mange",1
"Uasin Gishu","Mange ",1
"Uasin Gishu","Mastitis ",1
"Uasin Gishu","Pneumonia",12
"Uasin Gishu","Rabies",1
"Vihiga"," 0",2
"Vihiga"," Abscess",10
"Vihiga"," Effects Of Dexamethasone",1
"Vihiga"," Grass Tetany",1
"Vihiga"," Horn Buds",1
"Vihiga"," Iron Deficiency ",0
"Vihiga"," Locia",1
"Vihiga"," Pink Eye",1
"Vihiga"," Retained Afterbirth",2
"Vihiga"," Salmonellosis",1
"Vihiga","Allergy",2
"Vihiga","Anaestrus",3
"Vihiga","Anaplasmosis",23
"Vihiga","Animal bites",3
"Vihiga","Anorexic",5
"Vihiga","Anthrax",3
"Vihiga","Arthritis ",1
"Vihiga","Ascites ",1
"Vihiga","Babesiosis",1
"Vihiga","Bee Sting",1
"Vihiga","Benign tumour of mammary gland ",1
"Vihiga","Black Quarter",1
"Vihiga","Brucellosis",14
"Vihiga","Camel Pox",1
"Vihiga","Canine Distemper (CD)",1
"Vihiga","Clinical Mastitis",3
"Vihiga","Coccidosis",49
"Vihiga","Compound Fructure",1
"Vihiga","Contagious Caprine Pleuropneumonia (CCPP)",234
"Vihiga","Delayed Heat",2
"Vihiga","Diamond ",1
"Vihiga","Diqrrhoea due lush pasture",6
"Vihiga","Dislocation ",2
"Vihiga","Downer cow syndrome ",1
"Vihiga","Dystocia",1
"Vihiga","East Coast Fever(ECF)",24
"Vihiga","Enterotoxaemia",3
"Vihiga","Foot and Mouth Disease (FMD)",14
"Vihiga","Fowl Pox",20
"Vihiga","Fowl Typhoid ",1
"Vihiga","Gangrenous Disease",10
"Vihiga","Goat Pox",9
"Vihiga","Hardware ",1
"Vihiga","Heart Water",12
"Vihiga","Heartwater",1
"Vihiga","Helmenthiasis",5
"Vihiga","Helminthiasis",299
"Vihiga","Helminthiasis ",169
"Vihiga","Helminthisiasis",3
"Vihiga","Infertility  Disease",0
"Vihiga","Iron ",0
"Vihiga","Iron Defficiency ",9
"Vihiga","Iron Deficiency",8
"Vihiga","Iron Deficiency,tooth & Tail Clipping",0
"Vihiga","Laceration",1
"Vihiga","Laceration ",2
"Vihiga","Lice Infestation ",1
"Vihiga","Locked Jaw/ Tetanus",1
"Vihiga","Lumpy Skin Disease (LSD)",18
"Vihiga","Mange",41
"Vihiga","Manges",2
"Vihiga","Mastitis",7
"Vihiga","Mastitis ",8
"Vihiga","Mastitis/blocked Teat",1
"Vihiga","Menges",1
"Vihiga","Milk Fever",1
"Vihiga","Mummified foetus ",1
"Vihiga","Newcastle Disease (NCD)",65
"Vihiga","O",1
"Vihiga","Parvovirus",2
"Vihiga","Peste des Petit Ruminants (PPR)",73
"Vihiga","Photosensitization",1
"Vihiga","Photosensitization ",0
"Vihiga","Pink Eye",2
"Vihiga","Pneumonia",79
"Vihiga","Poisoning",1
"Vihiga","Postparturent Agalactia",1
"Vihiga","Pregnancy Diagnostic",0
"Vihiga","Profuse Diarrhoea",8
"Vihiga","Rabies",2
"Vihiga","Reproductive Disorder",3
"Vihiga","Retained After Birth",2
"Vihiga","Retained Placenta",1
"Vihiga","Ringworms",2
"Vihiga","Rolling Tongue ",1
"Vihiga","Ruminal Tympany",1
"Vihiga","Sprain",1
"Vihiga","Stomach Enteritis ",3
"Vihiga","Streptococcis",1
"Vihiga","TRP",1
"Vihiga","Thelezia",1
"Vihiga","Transmissible Venereal Tumour",0
"Vihiga","Traumatic of eye",1
"Vihiga","Trypanosomiasis",10
"Vihiga","Tumour ",1
"Vihiga","Uterine Prolapse",1
"Vihiga","Vaginal Prolapse",1
"Vihiga","Wart Infection",1
"Vihiga","Wart Infection ",1
"Vihiga","Warts",0
"Wajir","Anaemic ",10
"Wajir","Animal bites",10
"Wajir","Contagious Caprine Pleuropneumonia (CCPP)",132
"Wajir","Foot and Mouth Disease (FMD)",15
"Wajir","Goat Pox",5
"Wajir","Haemorrhagic septicemia",5
"Wajir","Peste des Petit Ruminants (PPR)",1416
"Wajir","Pneumonia",26
"Wajir","Rabies",12
"West Pokot","Anaplasmosis",12
"West Pokot","Contagious Caprine Pleuropneumonia (CCPP)",5
"West Pokot","East Coast Fever(ECF)",16
"West Pokot","Fungul",6
"West Pokot","Helminthiasis",11
"West Pokot","Lumpy Skin Disease (LSD)",24
"West Pokot","Mange",2
"West Pokot","Peste des Petit Ruminants (PPR)",51
"West Pokot","Retain Placenta",1
"West Pokot","Rift Valley Fever (RVF)",1
"West Pokot","Sinusitis",1
"West Pokot","Trypanosomiasis",3
