county,subcounty
Uasin Gishu,Ainabkoi
Kericho,Ainamoi
Nandi,Aldai
Siaya,Alego Usonga
Migori,Awendo
Nakuru,Bahati
Garissa,Balambala
Tana River,Bangal
Mandera,Banissa
Baringo,Baringo Central
Baringo,Baringo North
Baringo,Baringo South
Kericho,Belgut
Kisii,Bobasi
Kisii,Bomachoge Borabu
Kisii,Bomachoge Chache
Bomet,Bomet Central
Bomet,Bomet East
Kisii,Bonchari
Siaya,Bondo
Nyamira,Borabu
Busia,Budalangi
Bungoma,Bumula
Kericho,Bureti
Kakamega,Butere
Busia,Butula
Meru,Buuri
West Pokot,Central Pokot
Mombasa,Changamwe
Bomet,Chepalungu
Trans-Nzoia,Cherangany
Nandi,Chesumei
Tharaka-Nithi,Chiakariga
Tharaka-Nithi,Chuka
Garissa,Dadab
Nairobi,Dagoretti North
Nairobi,Dagoretti South
Baringo,Eldama Ravine
Wajir,Eldas
Nairobi,Embakasi Central
Nairobi,Embakasi East
Nairobi,Embakasi North
Nairobi,Embakasi South
Nairobi,Embakasi West
Nandi,Emgwen
Vihiga,Emuhaya
Trans-Nzoia,Endebess
Garissa,Fafi
Busia,Funyula
Tana River,Galedyertu
Kilifi,Ganze
Isiolo,Garbatulla
Garissa,Garissa
Murang’a,Gatanga
Kiambu,Gatundu North
Kiambu,Gatundu South
Siaya,Gem
Nakuru,Gilgil
Kiambu,Githunguri
Vihiga,Hamisi
Homa Bay,Homabay Town
Garissa,Hulugho
Tharaka-Nithi,Igambango'mbe
Meru,Igembe Central
Meru,Igembe North
Meru,Igembe South
Garissa,Ijara
Meru,Imenti Central
Meru,Imenti North
Meru,Imenti South
Kajiado,Isinya
Isiolo,Isiolo
Mombasa,Jomvu
Kiambu,Juja
Kiambu,Kabete
Homa Bay,Kabondo Kasipul
Bungoma,Kabuchai
Murang’a,Kahuro
Makueni,Kaiti
Kajiado,Kajiado Central
Kajiado,Kajiado North
Kakamega,Kakamega Central
Kakamega,Kakamega East
Kakamega,Kakamega North
Kakamega,Kakamega South
Kilifi,Kaloleni
Nairobi,Kamukunji
Murang’a,Kandara
Bungoma,Kanduyi
Murang’a,Kangema
Uasin Gishu,Kapseret
Homa Bay,Karachuonyo
Nairobi,Kasarani
Homa Bay,Kasipul
Machakos,Kathiani
Elgeyo-Marakwet,Keiyo North
Elgeyo-Marakwet,Keiyo South
Uasin Gishu,Kesses
Kakamega,Khwisero
Kiambu,Kiambaa
Kiambu,Kiambu Town
Nairobi,Kibra
Makueni,Kibwezi East
Makueni,Kibwezi West
Nyeri,Kieni East
Nyeri,Kieni West
Murang’a,Kigumo
Murang’a,Kiharu
Kiambu,Kikuyu
Kilifi,Kilifi North
Kilifi,Kilifi South
Makueni,Kilome
Bungoma,Kimilili
Trans-Nzoia,Kiminini
Kwale,Kinango
Nyandarua,Kinangop
Nyandarua,Kipipiri
Kericho,Kipkelion East
Kericho,Kipkelion West
Kirinyaga,Kirinyaga Central
Kirinyaga,Kirinyaga East
Kirinyaga,Kirinyaga West
Mombasa,Kisauni
Kisumu,Kisumu Central
Kisumu,Kisumu East
Kisumu,Kisumu West
Kitui,Kitui Central
Kitui,Kitui East
Kitui,Kitui Rural
Kitui,Kitui South
Kitui,Kitui West
Kisii,Kitutu Chache North
Kisii,Kitutu Chache South
Bomet,Konoin
Nakuru,Kuresoi North
Nakuru,Kuresoi South
Migori,Kuria East
Migori,Kuria West
Trans-Nzoia,Kwanza
Mandera,Lafey
Garissa,Lagdera
Laikipia,Laikipia Central
Laikipia,Laikipia East
Laikipia,Laikipia North
Laikipia,Laikipia West
Marsabit,Laisamis
Lamu,Lamu East
Lamu,Lamu West
Nairobi,Langata
Kiambu,Lari
Mombasa,Likoni
Kiambu,Limuru
Turkana,Loima
Kajiado,Loitokitok
Vihiga,Luanda
Kakamega,Lugari
Kakamega,Lukuyani
Kwale,Lunga Lunga
Kakamega,Lurambi
Tharaka-Nithi,Maara
Migori,Mabera
Machakos,Machakos
Kilifi,Magarini
Nairobi,Makadara
Makueni,Makueni
Kilifi,Malindi
Mandera,Mandera East
Mandera,Mandera North
Mandera,Mandera South
Mandera,Mandera West
Nyamira,Manga
Embu,Manyatta
Elgeyo-Marakwet,Marakwet East
Elgeyo-Marakwet,Marakwet West
Nyamira,Masaba North
Kajiado,Mashuuru
Machakos,Masinga
Kakamega,Matete
Nairobi,Mathare
Murang’a,Mathioya
Nyeri,Mathira East
Nyeri,Mathira West
Kwale,Matuga
Machakos,Matungulu
Machakos,Mavoko
Embu,Mbeere North
Embu,Mbeere South
Homa Bay,Mbita
Makueni,Mbooni
Isiolo,Merti
Baringo,Mogotio
Uasin Gishu,Moiben
Nakuru,Molo
Nandi,Mosop
Marsabit,Moyale
Kwale,Msambweni
Bungoma,Mt Elgon
Kisumu,Muhoroni
Nyeri,Mukurweini
Kakamega,Mumias
Murang’a,Muranga South
Tharaka-Nithi,Muthambi
Kakamega,Mutungu
Mombasa,Mvita
Machakos,Mwala
Taita-Taveta,Mwatate
Kirinyaga,Mwea East
Kirinyaga,Mwea West
Kitui,Mwingi Central
Kitui,Mwingi North
Kitui,Mwingi West
Nakuru,Naivasha
Nakuru,Nakuru East
Nakuru,Nakuru West
Busia,Nambele
Nandi,Nandi Hills
Narok,Narok East
Narok,Narok North
Narok,Narok South
Narok,Narok West
Kakamega,Navakholo
Nyandarua,Ndaragwa
Kiambu,Ndeiya
Homa Bay,Ndhiwa
Nakuru,Njoro
Marsabit,North Horr
West Pokot,North Pokot
Migori,Ntimaru
Laikipia,Nyahururu
Kisumu,Nyakach
Mombasa,Nyali
Nyamira,Nyamira North
Nyamira,Nyamira South
Kisumu,Nyando
Kisii,Nyaribari Chache
Kisii,Nyaribari Masaba
Nyeri,Nyeri Central
Nyandarua,Olioroorok
Nyandarua,Olkalou
Nyeri,Othaya
West Pokot,Pokot South
Kilifi,Rabai
Homa Bay,Rangwe
Siaya,Rarieda
Nakuru,Rongai
Migori,Rongo
Nairobi,Roysambu
Nairobi,Ruaraka
Kiambu,Ruiru
Embu,Runyenjes
Vihiga,Sabatia
Trans-Nzoia,Saboti
Marsabit,Saku
Samburu,Samburu East
Samburu,Samburu North
Samburu,Samburu West
Kisumu,Seme
Bungoma,Sirisia
Kericho,Sigowet/Soin
Bomet,Sotik
Kisii,South Mugirango
Uasin Gishu,Soy
Nairobi,Starehe
Homa Bay,Suba
Nakuru,Subukia
Migori,Suna East
Migori,Suna West
Tana River,Tana Delta
Tana River,Tana North
Tana River,Tana River
Wajir,Tarbaj
Taita-Taveta,Taveta
Busia,Teso North
Busia,Teso South
Nyeri,Tetu
Tharaka-Nithi,Tharaka North
Tharaka-Nithi,Tharaka South
Kiambu,Thika East
Kiambu,Thika Town
Kiambu,Thika West
Baringo,Tiaty East
Baringo,Tiaty West
Meru,Tigania East
Meru,Tigania West
Nandi,Tinderet
Bungoma,Tongaren
Narok,Transmara East
Narok,Transmara West
Uasin Gishu,Turbo
Turkana,Turkana Central
Turkana,Turkana East
Turkana,Turkana North
Turkana,Turkana South
Siaya,Ugenya
Siaya,Ugunja
Migori,Uriri
Vihiga,Vihiga
Taita-Taveta,Voi
Wajir,Wajir East
Wajir,Wajir North
Wajir,Wajir South
Wajir,Wajir West
Bungoma,Webuye East
Bungoma,Webuye West
West Pokot,West Pokot
Nairobi,Westlands
Taita-Taveta,Wundanyi
Machakos,Yatta
